 ;De 16 a 19 años;;;De 20 a 24 años;;;De 25 a 34 años;;;De 35 a 44 años;;;De 45 a 54 años;;;55 y más años;;
 ;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
01 Andalucía;;;;;;;;;;;;;;;;;;
    2011T2;50.3;28.4;21.9;168.8;91.7;77.1;349.3;183.5;165.8;295.6;155.1;140.5;221.3;114.3;107.0;88.3;55.7;32.6
    2011T1;51.2;27.1;24.1;161.0;89.6;71.4;349.9;187.8;162.1;296.2;147.8;148.4;231.5;117.8;113.7;87.8;53.8;34.0
    2010T4;51.4;27.5;23.9;149.8;78.2;71.6;334.1;182.1;152.1;284.5;140.6;143.9;210.6;112.9;97.6;87.0;54.0;33.0
    2010T3;59.3;35.6;23.7;151.4;76.4;75.0;336.3;184.5;151.8;288.2;140.7;147.5;205.2;111.8;93.5;84.6;53.9;30.7
    2010T2;63.4;36.4;27.0;156.7;86.2;70.5;332.0;191.1;141.0;267.7;132.9;134.9;201.0;104.4;96.5;79.4;53.0;26.4
    2010T1;59.5;34.8;24.7;147.9;83.4;64.5;323.0;187.3;135.8;271.5;135.4;136.1;197.5;109.3;88.3;77.9;47.7;30.1
    2009T4;54.2;34.6;19.6;136.4;77.7;58.8;317.2;170.3;146.9;265.9;129.8;136.1;182.1;104.7;77.5;78.2;49.2;29.0
    2009T3;59.6;36.3;23.3;145.3;85.0;60.3;299.5;159.9;139.6;252.1;131.0;121.0;166.2;93.5;72.7;70.0;44.9;25.1
    2009T2;68.8;42.9;26.0;141.0;76.9;64.1;300.2;160.7;139.4;245.5;124.7;120.8;167.0;89.4;77.6;72.0;45.0;27.0
    2009T1;61.9;35.1;26.8;131.9;69.9;62.0;286.0;150.9;135.1;242.4;128.4;114.0;145.9;78.7;67.2;71.5;44.1;27.5
    2008T4;64.2;38.0;26.2;120.3;65.2;55.1;254.1;131.0;123.1;213.3;109.4;103.9;136.1;68.7;67.5;57.6;32.3;25.2
    2008T3;60.1;32.7;27.4;99.3;50.9;48.4;211.6;99.6;112.0;163.7;77.4;86.3;117.5;60.4;57.1;49.5;28.3;21.2
    2008T2;53.3;28.8;24.5;86.1;47.9;38.2;187.3;94.0;93.3;142.4;59.4;83.0;103.5;54.3;49.2;43.4;26.1;17.3
    2008T1;49.5;24.7;24.9;83.6;45.4;38.3;167.9;78.4;89.4;131.7;53.6;78.1;85.2;40.2;45.0;43.8;22.7;21.1
    2007T4;45.6;22.3;23.4;75.8;35.8;40.0;155.9;64.4;91.4;119.2;46.9;72.3;85.7;39.7;46.0;43.2;24.7;18.5
    2007T3;44.2;21.1;23.1;79.5;35.5;44.0;134.3;58.8;75.5;100.3;39.7;60.6;75.0;36.8;38.2;33.5;19.1;14.4
    2007T2;40.8;18.0;22.8;69.4;33.3;36.1;126.4;48.8;77.6;99.1;36.9;62.2;75.1;34.6;40.5;31.6;18.5;13.1
    2007T1;35.4;16.2;19.2;68.8;34.5;34.3;134.6;56.4;78.2;114.3;48.7;65.6;75.2;32.1;43.1;31.4;18.2;13.2
    2006T4;39.8;19.9;19.9;63.3;26.5;36.8;145.1;61.8;83.3;101.9;39.4;62.5;60.6;25.0;35.6;31.4;18.0;13.4
    2006T3;33.8;14.4;19.5;76.9;33.8;43.1;146.5;64.9;81.6;99.0;41.8;57.2;59.2;25.6;33.6;31.0;16.8;14.2
    2006T2;38.2;17.7;20.5;70.4;31.2;39.2;151.4;59.4;92.1;100.8;43.6;57.2;59.7;27.8;31.9;28.1;18.7;9.5
    2006T1;37.1;17.0;20.1;73.6;33.1;40.5;156.5;63.4;93.1;104.3;44.0;60.3;72.2;36.5;35.7;32.6;20.3;12.3
02 Aragón;;;;;;;;;;;;;;;;;;
    2020T4;3.5;1.9;1.5;11.7;4.8;7.0;18.2;8.0;10.1;17.0;7.9;9.1;18.2;7.3;10.9;12.5;4.8;7.7
    2020T3;3.5;1.9;1.6;10.8;5.0;5.8;17.2;7.3;10.0;15.0;6.9;8.1;17.4;8.7;8.7;12.7;6.1;6.6
    2020T2;2.2;1.3;0.9;8.7;4.1;4.6;22.1;10.0;12.0;15.7;7.6;8.2;16.3;6.6;9.8;10.0;5.5;4.4
