 ;De 16 a 19 años;;;De 20 a 24 años;;;De 25 a 34 años;;;De 35 a 44 años;;;De 45 a 54 años;;;55 y más años;;
 ;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
01 Andalucía;;;;;;;;;;;;;;;;;;
    2010T1;1.9;1.5;0.4;11.5;6.8;4.6;32.9;18.4;14.5;17.2;8.3;8.9;11.8;4.2;7.5;6.5;3.8;2.6
    2009T4;1.4;1.1;0.3;11.5;6.3;5.1;26.1;14.7;11.4;16.1;7.0;9.1;10.4;4.3;6.1;3.7;2.2;1.4
    2009T3;3.0;2.1;0.9;11.0;5.2;5.8;22.1;13.9;8.2;15.6;6.6;9.0;10.5;4.1;6.4;4.4;2.3;2.1
    2009T2;4.5;2.8;1.7;9.7;4.5;5.2;22.9;13.9;9.0;17.9;7.8;10.2;8.9;3.7;5.2;4.7;2.3;2.4
    2009T1;4.0;2.6;1.4;9.0;4.5;4.5;18.7;10.6;8.1;14.6;7.2;7.4;9.2;3.3;5.9;4.3;2.3;2.1
    2008T4;1.7;1.0;0.7;6.7;3.3;3.3;15.7;7.6;8.1;15.9;5.5;10.4;6.8;3.1;3.7;3.0;2.0;1.0
    2008T3;2.3;1.1;1.2;6.5;3.2;3.3;12.1;5.9;6.2;10.2;3.9;6.2;5.1;1.4;3.7;2.4;1.3;1.1
    2008T2;3.3;1.8;1.4;6.1;3.7;2.5;11.2;4.9;6.3;11.7;4.9;6.8;4.7;1.6;3.1;2.2;1.3;0.8
    2008T1;2.5;2.1;0.5;6.4;2.3;4.0;13.4;4.3;9.1;10.2;3.7;6.5;5.9;1.8;4.2;3.5;2.4;1.1
    2007T4;1.4;1.2;0.1;5.6;2.7;2.9;13.8;4.9;8.9;8.7;3.2;5.6;6.2;3.2;3.0;2.5;1.9;0.6
    2007T3;1.1;1.0;0.1;5.4;3.6;1.8;12.0;5.2;6.8;8.2;3.1;5.1;5.4;1.7;3.7;2.1;1.2;0.8
    2007T2;1.4;0.7;0.8;5.3;2.4;3.0;15.5;6.3;9.3;10.2;4.0;6.2;8.1;3.6;4.6;2.7;1.4;1.3
    2007T1;1.4;0.8;0.6;8.0;2.3;5.7;16.1;6.9;9.2;10.2;3.4;6.8;7.4;3.5;3.9;1.4;1.0;0.4
    2006T4;1.0;0.8;0.2;6.0;2.5;3.5;17.8;8.1;9.7;8.9;2.0;6.9;7.2;3.9;3.3;1.7;1.3;0.4
    2006T3;0.8;0.2;0.6;8.3;5.4;2.9;19.0;6.7;12.3;9.5;2.6;6.8;5.4;1.9;3.5;1.7;0.9;0.8
    2006T2;2.3;1.1;1.2;7.0;4.3;2.7;15.1;5.0;10.1;8.8;3.8;5.0;3.4;1.0;2.4;1.5;1.1;0.5
    2006T1;1.8;0.9;0.9;10.1;6.6;3.5;17.1;6.2;10.9;11.1;3.7;7.4;5.2;1.6;3.6;1.6;1.1;0.5
04 Balears, Illes;;;;;;;;;;;;;;;;;;
    2020T4;5.3;4.4;0.9;10.9;7.1;3.8;32.1;12.9;19.1;30.6;16.5;14.1;19.4;10.1;9.3;11.6;4.9;6.7
    2020T3;5.2;4.2;1.0;14.3;7.3;7.0;24.9;11.7;13.2;17.9;11.2;6.6;16.0;8.9;7.1;9.7;5.1;4.5
    2020T2;3.8;2.0;1.8;11.4;5.0;6.3;27.6;15.0;12.6;23.2;13.9;9.3;19.9;9.5;10.4;11.2;3.8;7.4
    2020T1;3.7;1.9;1.8;12.8;5.5;7.2;28.2;12.6;15.6;28.9;11.8;17.0;21.4;10.8;10.6;17.0;5.6;11.4
    2019T4;1.7;1.2;0.5;9.3;4.8;4.5;18.3;10.3;8.0;14.8;7.2;7.7;9.4;3.8;5.6;9.2;5.0;4.2
    2019T3;5.1;2.2;2.9;7.7;4.0;3.7;13.3;5.6;7.6;12.6;8.0;4.6;9.2;4.4;4.8;7.3;4.3;3.0
    2019T2;5.3;2.1;3.2;11.9;6.0;5.8;15.1;7.3;7.8;20.0;7.3;12.7;16.6;4.8;11.8;11.0;4.7;6.3
    2019T1;5.0;2.3;2.7;11.9;6.0;6.0;26.0;13.3;12.8;25.3;11.9;13.4;26.0;10.1;15.9;11.9;6.2;5.7
    2018T4;3.0;1.7;1.3;6.9;3.5;3.3;17.9;11.8;6.1;18.2;8.0;10.3;14.4;8.4;6.0;7.7;5.3;2.5
    2018T3;2.7;2.0;0.7;5.6;3.8;1.8;9.2;4.8;4.4;13.6;6.5;7.1;13.6;8.2;5.4;3.3;1.2;2.1
    2018T2;6.5;3.4;3.1;12.6;8.7;3.9;12.2;5.3;6.9;15.9;7.5;8.4;17.1;8.3;8.8;8.3;5.3;3.1
    2018T1;4.4;2.6;1.8;10.0;7.4;2.5;24.9;15.4;9.5;29.7;16.9;12.8;21.5;9.8;11.7;12.7;8.2;4.4
    2017T4;2.7;2.3;0.3;9.5;5.0;4.5;16.3;10.4;6.0;19.7;10.8;8.9;15.0;7.4;7.6;11.9;8.7;3.2
    2017T3;5.2;3.0;2.2;6.7;2.8;3.8;13.1;6.9;6.2;13.8;7.7;6.1;10.3;5.1;5.2;10.6;6.7;4.0
    2017T2;4.9;3.4;1.4;9.3;4.8;4.5;21.7;9.4;12.2;12.8;6.7;6.1;13.3;7.0;6.3;10.1;5.7;4.4
    2017T1;4.7;3.2;1.5;9.7;4.8;4.9;25.6;14.7;10.9;23.3;10.0;13.4;21.3;10.7;10.6;13.9;7.7;6.2
    2016T4;4.7;3.1;1.5;10.5;5.6;4.9;23.6;12.0;11.6;20.4;9.6;10.8;14.8;7.1;7.8;8.0;3.9;4.1
    2016T3;3.4;1.9;1.5;9.8;5.5;4.3;18.5;9.0;9.5;15.7;7.4;8.3;12.4;7.5;4.9;7.9;3.9;4.1
    2016T2;3.1;1.8;1.3;12.8;7.6;5.2;22.2;10.6;11.7;20.0;9.5;10.4;13.9;6.4;7.5;9.9;4.4;5.5
    2016T1;3.7;3.3;0.4;17.5;9.7;7.8;33.3;15.9;17.4;25.8;14.6;11.2;18.7;10.1;8.5;11.9;6.9;5.0
    2015T4;6.0;4.5;1.5;12.6;7.9;4.7;30.8;15.6;15.3;24.9;14.8;10.1;18.6;8.4;10.2;9.9;4.5;5.5
    2015T3;6.5;3.6;2.9;10.3;7.4;3.0;22.4;12.8;9.6;20.5;13.5;7.0;18.1;10.5;7.6;11.6;5.6;6.0
    2015T2;5.9;2.9;3.1;13.2;7.4;5.8;28.5;14.5;14.0;26.9;12.9;14.0;17.2;7.5;9.6;11.9;5.7;6.2
    2015T1;5.3;2.6;2.7;15.7;8.7;7.0;32.7;16.1;16.6;33.6;18.6;15.0;26.8;12.7;14.0;16.7;9.7;7.0
    2014T4;4.9;3.4;1.4;12.5;7.1;5.4;29.6;17.4;12.2;26.6;15.8;10.8;21.9;10.4;11.5;15.9;9.7;6.2
    2014T3;5.8;3.0;2.8;14.6;8.2;6.5;24.1;15.0;9.1;23.6;14.3;9.3;19.8;10.8;9.0;13.1;8.6;4.5
    2014T2;4.4;1.9;2.5;14.1;6.4;7.7;32.8;19.0;13.8;28.1;17.0;11.1;22.3;12.8;9.5;16.3;11.5;4.8
    2014T1;3.9;2.9;1.0;15.7;7.2;8.5;41.5;24.5;17.0;42.8;24.7;18.1;28.6;15.3;13.3;20.0;12.4;7.6
    2013T4;3.2;2.2;1.0;15.1;6.9;8.2;39.8;24.6;15.3;33.8;20.5;13.3;27.1;15.9;11.2;14.7;9.0;5.7
    2013T3;5.9;3.0;2.9;11.5;5.0;6.5;33.4;18.9;14.5;25.1;14.8;10.3;20.0;10.5;9.5;10.6;7.1;3.5
    2013T2;4.5;2.2;2.4;15.8;7.6;8.2;46.1;24.1;22.0;28.9;15.4;13.5;26.0;13.6;12.4;11.8;6.7;5.1
    2013T1;4.7;2.8;1.9;22.8;11.4;11.4;51.4;26.9;24.4;42.4;23.2;19.3;34.4;19.1;15.3;15.9;8.8;7.1
    2012T4;4.9;2.9;1.9;21.4;11.7;9.7;43.3;22.0;21.3;34.8;18.6;16.2;28.7;18.1;10.6;13.4;6.3;7.1
    2012T3;7.9;4.2;3.7;16.5;6.7;9.8;32.8;18.5;14.2;27.4;13.3;14.1;25.2;15.3;9.9;15.1;7.6;7.5
    2012T2;7.9;3.4;4.5;17.2;7.1;10.0;38.1;20.3;17.9;28.9;11.4;17.5;27.7;16.3;11.4;12.8;6.8;6.0
    2012T1;4.8;2.8;2.0;20.9;9.3;11.6;52.8;29.2;23.7;37.2;15.7;21.5;33.0;20.4;12.6;16.5;9.1;7.4
    2011T4;6.0;4.3;1.7;18.5;11.6;6.8;43.6;22.9;20.7;37.4;17.5;19.9;31.0;19.4;11.5;13.3;7.7;5.7
    2011T3;6.4;3.7;2.7;13.8;7.6;6.2;34.1;20.0;14.1;24.0;13.8;10.2;22.2;15.2;7.0;10.1;5.7;4.3
    2011T2;6.2;3.1;3.1;14.6;9.3;5.3;36.3;18.9;17.4;30.1;18.4;11.7;18.3;11.3;7.0;11.3;5.3;6.0
    2011T1;5.7;3.6;2.1;15.1;8.6;6.5;50.6;27.2;23.4;34.4;16.8;17.6;26.7;12.2;14.4;10.8;5.7;5.1
    2010T4;6.0;3.0;3.0;16.8;9.9;6.9;41.9;26.3;15.5;29.4;17.1;12.3;21.8;10.6;11.2;11.5;7.0;4.5
    2010T3;7.9;4.5;3.4;14.0;9.5;4.5;28.2;16.1;12.1;25.1;14.7;10.4;19.6;10.9;8.7;9.9;6.3;3.6
    2010T2;9.2;6.0;3.2;18.1;11.5;6.6;33.9;17.6;16.3;32.4;18.1;14.3;20.5;10.7;9.8;7.6;3.2;4.4
    2010T1;9.5;6.4;3.1;15.5;9.1;6.5;38.2;21.8;16.5;34.2;15.6;18.6;22.4;12.3;10.1;8.2;5.3;2.9
    2009T4;5.4;4.5;0.9;15.8;10.7;5.1;33.0;18.6;14.4;32.3;18.5;13.7;21.5;12.4;9.1;5.4;3.5;1.8
    2009T3;6.2;4.6;1.6;12.3;9.0;3.3;29.1;20.4;8.8;21.9;13.2;8.7;14.9;9.6;5.2;6.1;3.6;2.5
    2009T2;8.5;5.5;3.1;11.7;8.0;3.7;34.5;20.2;14.3;26.9;16.1;10.8;20.4;10.4;10.0;6.1;4.0;2.1
    2009T1;5.2;2.9;2.4;12.5;7.4;5.1;37.2;21.6;15.6;29.7;14.7;14.9;18.5;9.3;9.3;7.7;4.2;3.5
    2008T4;3.9;2.1;1.8;9.1;5.5;3.6;27.8;16.5;11.2;15.9;8.7;7.2;9.4;5.8;3.6;2.6;1.2;1.4
    2008T3;4.9;3.5;1.4;13.1;8.1;5.0;18.9;11.1;7.8;10.0;4.8;5.2;6.4;4.0;2.5;1.9;0.6;1.3
    2008T2;7.1;3.9;3.1;9.0;6.1;2.8;11.1;4.8;6.2;11.6;5.5;6.1;6.9;2.1;4.7;2.9;2.3;0.6
    2008T1;4.1;1.9;2.2;7.4;4.2;3.2;18.3;10.3;8.0;17.1;7.5;9.6;9.4;3.7;5.7;3.7;1.0;2.8
    2007T4;3.0;1.7;1.3;7.8;3.5;4.3;19.1;10.9;8.2;12.1;5.1;7.0;6.7;3.3;3.3;2.7;1.8;0.9
    2007T3;0.9;0.6;0.4;3.9;1.3;2.7;9.0;4.6;4.4;7.8;3.8;4.1;3.4;1.2;2.2;1.3;0.9;0.4
    2007T2;3.9;2.6;1.3;5.7;1.8;3.9;7.0;2.9;4.1;8.4;3.1;5.3;4.9;1.8;3.1;0.9;0.4;0.5
    2007T1;4.4;2.9;1.5;7.4;3.0;4.4;11.1;5.6;5.5;15.8;7.3;8.5;5.9;3.9;2.1;4.0;1.8;2.2
    2006T4;4.9;2.7;2.2;4.4;1.8;2.6;10.3;3.8;6.5;8.5;5.4;3.1;3.6;2.1;1.5;1.6;1.1;0.5
    2006T3;2.8;1.3;1.5;3.8;1.1;2.7;9.0;4.2;4.8;6.3;4.0;2.3;3.2;1.7;1.5;1.2;0.2;1.0
    2006T2;3.3;1.6;1.8;5.4;1.7;3.7;11.7;5.9;5.8;8.0;4.0;4.1;3.9;1.6;2.3;2.9;1.3;1.5
    2006T1;4.1;3.4;0.8;4.9;2.3;2.7;12.7;4.7;8.0;10.6;4.2;6.4;5.7;2.1;3.5;3.5;1.1;2.4
05 Canarias;;;;;;;;;;;;;;;;;;
    2020T4;6.5;3.3;3.2;28.9;15.5;13.4;72.2;33.5;38.7;67.9;33.6;34.3;61.8;28.7;33.1;41.7;20.5;21.2
    2020T3;5.9;3.9;1.9;34.3;20.1;14.1;69.2;33.2;36.0;66.2;28.9;37.3;59.1;26.5;32.6;39.1;17.4;21.7
    2020T2;3.7;2.4;1.3;25.1;12.7;12.4;48.7;30.2;18.4;58.3;29.7;28.6;52.5;27.7;24.8;37.7;22.3;15.3
    2020T1;7.6;6.0;1.6;22.4;11.1;11.3;43.4;21.8;21.7;54.0;25.8;28.1;56.3;25.9;30.4;31.5;16.6;15.0
    2019T4;6.8;4.8;2.0;22.4;10.4;12.0;44.4;22.9;21.5;52.8;22.9;29.9;57.2;27.6;29.6;33.9;19.2;14.7
    2019T3;7.0;5.3;1.8;25.0;11.7;13.3;58.3;30.3;28.1;56.7;21.7;35.1;61.5;28.0;33.5;31.0;16.4;14.6
    2019T2;8.0;4.7;3.3;28.6;15.3;13.2;53.9;31.3;22.6;56.2;25.9;30.3;58.3;28.8;29.5;34.2;19.3;14.9
    2019T1;5.5;3.5;2.0;29.7;16.2;13.5;49.1;25.3;23.7;55.5;26.8;28.7;64.8;32.5;32.3;33.2;18.9;14.2
    2018T4;2.9;1.9;1.0;25.1;13.8;11.3;52.1;28.1;24.0;53.8;24.6;29.2;57.2;28.4;28.8;37.1;19.8;17.3
    2018T3;5.2;3.3;1.9;24.6;13.1;11.4;51.8;29.3;22.5;53.9;26.1;27.8;54.2;25.8;28.4;32.5;18.2;14.4
    2018T2;6.6;2.7;3.8;22.8;12.7;10.1;55.9;25.1;30.8;50.4;22.7;27.6;56.5;28.8;27.8;30.2;14.8;15.4
    2018T1;9.1;3.9;5.2;19.4;11.4;8.1;52.9;26.6;26.3;54.9;26.5;28.4;58.5;27.9;30.6;33.6;17.7;16.0
    2017T4;8.0;2.9;5.1;25.0;13.9;11.1;58.1;28.4;29.7;61.0;25.2;35.7;60.9;30.2;30.7;33.5;18.2;15.3
    2017T3;9.0;4.6;4.4;23.8;12.3;11.5;57.3;23.0;34.3;58.5;21.3;37.3;55.1;27.5;27.6;35.7;18.0;17.7
    2017T2;8.1;4.9;3.3;27.9;15.8;12.1;58.5;25.5;33.0;76.9;34.1;42.8;61.4;29.1;32.3;33.2;19.1;14.1
    2017T1;5.7;2.7;3.0;29.9;17.4;12.5;58.3;28.1;30.2;77.0;35.4;41.6;69.1;33.3;35.9;39.7;23.5;16.1
    2016T4;5.7;3.0;2.7;31.1;17.7;13.4;60.9;29.9;31.0;66.2;28.9;37.3;70.5;35.5;34.9;39.7;22.2;17.5
    2016T3;7.9;4.4;3.5;30.5;18.2;12.3;67.1;32.3;34.8;74.6;36.7;37.9;65.0;29.5;35.5;41.7;22.2;19.5
    2016T2;7.1;3.8;3.2;32.9;19.0;13.8;69.2;28.8;40.4;83.1;41.4;41.8;71.2;36.7;34.5;37.3;20.2;17.1
    2016T1;4.9;3.0;1.9;28.7;16.3;12.3;70.6;33.6;37.1;73.2;31.8;41.4;67.1;37.2;29.9;40.7;22.1;18.6
    2015T4;5.8;2.5;3.3;33.4;19.6;13.8;81.9;41.3;40.6;68.7;34.5;34.2;67.6;34.9;32.7;39.6;24.2;15.4
    2015T3;9.1;5.1;4.0;34.5;18.5;16.0;86.5;38.8;47.7;78.3;39.6;38.7;68.8;34.5;34.4;39.9;20.6;19.3
    2015T2;7.6;4.7;2.9;35.3;20.8;14.5;95.0;48.9;46.1;94.8;49.3;45.5;70.6;33.7;36.9;33.2;19.7;13.5
    2015T1;8.0;4.1;3.9;34.3;22.7;11.6;92.8;47.1;45.8;92.4;48.3;44.1;75.9;35.5;40.5;40.1;23.9;16.1
    2014T4;5.6;1.9;3.7;39.8;21.2;18.6;86.8;43.9;42.8;100.1;51.9;48.2;76.1;36.4;39.8;33.7;23.0;10.7
    2014T3;9.6;4.7;4.9;38.1;21.5;16.6;93.8;48.7;45.1;100.0;50.2;49.8;81.4;37.8;43.6;39.3;26.8;12.5
    2014T2;6.0;3.6;2.4;37.6;19.9;17.7;89.9;48.8;41.1;101.2;51.2;50.0;84.4;40.0;44.4;37.7;23.4;14.3
    2014T1;8.1;3.1;4.9;38.8;20.3;18.4;94.7;50.1;44.6;96.9;51.6;45.3;85.2;46.6;38.5;32.3;21.9;10.5
    2013T4;11.5;4.9;6.5;43.4;24.5;18.8;104.3;57.5;46.7;94.8;49.8;45.0;81.0;45.8;35.1;30.5;21.2;9.3
    2013T3;13.2;7.5;5.7;44.1;23.1;20.9;106.0;56.3;49.6;99.8;53.9;45.8;83.7;48.6;35.1;36.8;23.1;13.7
    2013T2;10.2;4.7;5.5;46.3;26.8;19.5;101.7;53.0;48.8;96.2;48.8;47.4;76.6;41.9;34.8;31.4;19.4;12.1
    2013T1;11.4;6.4;5.0;49.6;27.5;22.1;111.8;59.8;52.0;95.9;53.0;43.0;78.7;42.7;35.9;27.0;16.2;10.8
    2012T4;10.2;5.3;4.9;51.0;26.7;24.3;100.8;52.2;48.7;94.8;56.1;38.7;73.9;39.6;34.2;28.0;15.9;12.1
    2012T3;12.9;5.9;7.0;46.4;24.1;22.2;107.9;55.0;52.9;98.2;54.6;43.5;73.9;41.8;32.1;28.2;14.1;14.0
    2012T2;12.3;6.5;5.8;43.8;24.7;19.2;103.6;54.7;48.9;94.6;48.1;46.6;76.3;42.0;34.3;29.4;17.0;12.3
    2012T1;10.4;5.0;5.4;36.6;17.6;19.0;104.0;53.2;50.8;99.2;47.3;51.9;75.7;42.9;32.8;24.7;13.6;11.1
    2011T4;8.6;5.3;3.3;33.8;16.6;17.2;102.5;54.8;47.8;90.4;46.1;44.3;67.1;38.3;28.8;27.1;17.1;10.0
    2011T3;12.0;6.7;5.2;35.5;16.6;18.9;89.2;48.7;40.5;86.8;42.5;44.3;64.3;38.6;25.7;29.9;20.0;9.9
    2011T2;11.9;5.9;6.0;37.7;18.0;19.8;99.5;53.1;46.5;83.0;44.9;38.1;64.4;39.1;25.3;24.9;15.9;9.0
    2011T1;9.4;5.8;3.6;37.6;18.8;18.8;92.6;52.8;39.8;79.7;42.9;36.7;59.5;33.4;26.0;25.7;17.4;8.3
    2010T4;10.5;5.9;4.5;33.5;20.2;13.3;85.3;47.8;37.5;88.1;46.3;41.8;59.9;34.7;25.2;29.1;21.0;8.0
    2010T3;7.9;5.3;2.7;40.4;23.2;17.3;90.4;47.3;43.1;83.9;46.1;37.8;55.1;32.3;22.8;25.2;18.1;7.1
    2010T2;13.7;10.5;3.1;36.6;19.8;16.8;89.8;51.1;38.6;87.4;46.7;40.7;58.8;33.1;25.6;22.6;14.7;7.9
    2010T1;12.7;8.6;4.1;38.9;21.6;17.3;81.7;45.8;35.9;80.5;41.4;39.1;56.7;29.8;26.9;24.0;16.6;7.4
    2009T4;12.4;6.4;6.0;38.2;20.2;18.1;81.5;49.0;32.6;77.4;42.4;35.0;53.1;27.4;25.6;22.5;14.4;8.0
    2009T3;10.7;6.7;4.0;38.2;19.7;18.5;83.7;47.4;36.3;71.9;41.2;30.7;47.0;23.5;23.5;17.9;8.7;9.2
    2009T2;10.3;5.6;4.8;36.5;20.9;15.5;80.1;45.2;34.9;76.5;41.3;35.2;46.4;23.3;23.1;14.9;9.4;5.5
    2009T1;13.5;7.3;6.2;34.0;18.8;15.2;82.8;47.1;35.7;79.9;45.0;34.9;44.6;22.8;21.9;15.4;8.6;6.8
    2008T4;10.1;5.3;4.7;26.7;15.6;11.1;63.4;32.1;31.3;66.7;33.4;33.2;33.9;17.1;16.7;14.6;7.8;6.8
    2008T3;12.7;6.0;6.6;19.8;13.3;6.5;53.1;25.4;27.7;50.0;29.2;20.8;28.7;15.9;12.8;12.3;8.3;4.0
    2008T2;14.6;8.6;6.1;25.0;14.3;10.7;48.9;23.9;25.0;36.7;20.4;16.3;24.5;14.9;9.6;11.4;6.5;4.9
    2008T1;9.0;4.8;4.2;19.6;11.4;8.3;46.2;23.8;22.4;40.3;20.0;20.3;22.5;12.0;10.5;9.7;5.7;4.0
    2007T4;8.6;4.9;3.7;13.4;6.7;6.7;37.5;18.4;19.1;24.8;13.1;11.7;17.5;9.2;8.3;6.8;3.2;3.7
    2007T3;10.4;5.5;4.9;16.9;7.2;9.7;29.9;14.2;15.6;29.3;15.0;14.3;13.5;6.3;7.2;7.4;3.4;4.1
    2007T2;8.6;3.8;4.8;17.0;6.2;10.7;28.4;13.8;14.6;19.6;7.5;12.1;13.9;6.2;7.7;10.9;5.9;5.0
    2007T1;9.0;4.8;4.2;15.7;7.1;8.6;29.3;12.6;16.7;27.1;12.0;15.1;13.9;5.9;8.0;6.7;3.9;2.7
    2006T4;9.7;4.9;4.8;16.7;8.5;8.2;34.6;13.8;20.7;28.8;11.0;17.7;14.1;6.3;7.8;7.1;5.1;1.9
    2006T3;10.6;5.8;4.8;17.9;8.5;9.5;37.5;18.1;19.4;25.8;11.9;13.9;15.3;8.4;6.9;9.1;5.8;3.4
    2006T2;10.4;5.8;4.6;17.3;7.2;10.1;32.8;14.4;18.3;25.9;10.6;15.3;14.9;6.8;8.1;8.3;5.6;2.8
    2006T1;10.2;5.7;4.4;16.5;8.0;8.5;34.6;13.5;21.1;28.9;13.1;15.9;16.6;9.4;7.2;8.6;5.6;3.0
06 Cantabria;;;;;;;;;;;;;;;;;;
    2020T4;0.4;0.1;0.3;3.3;2.0;1.3;7.5;4.2;3.3;7.4;3.0;4.4;7.6;3.1;4.5;5.5;3.0;2.5
    2020T3;0.9;0.3;0.6;4.8;2.0;2.7;8.0;5.5;2.6;8.0;3.5;4.4;7.3;3.2;4.1;4.0;2.3;1.7
    2020T2;1.1;0.7;0.4;5.0;3.3;1.7;6.5;3.9;2.6;9.1;4.6;4.5;7.8;3.3;4.5;5.6;3.2;2.3
    2020T1;0.5;0.3;0.5;3.9;2.8;1.0;5.7;2.7;3.0;7.6;3.3;4.3;7.4;3.3;4.1;4.8;2.9;1.9
    2019T4;0.7;0.4;0.3;2.3;1.0;1.4;6.6;3.3;3.3;9.2;4.5;4.7;8.7;3.8;4.8;3.3;1.9;1.4
    2019T3;1.0;0.1;0.9;2.5;1.3;1.3;6.4;3.5;3.0;4.9;2.7;2.2;6.0;2.9;3.2;2.9;1.5;1.4
    2019T2;0.2;0.3;0.2;2.7;1.5;1.2;7.3;4.4;2.9;5.4;2.5;2.8;5.5;2.6;2.9;3.1;1.9;1.3
    2019T1;1.3;0.5;0.8;3.2;1.5;1.6;7.9;4.2;3.7;8.5;4.6;3.8;7.3;3.1;4.1;4.9;2.5;2.4
    2018T4;0.5;0.2;0.4;3.4;1.7;1.6;6.6;3.4;3.3;4.9;2.5;2.4;7.3;3.3;4.1;3.1;1.1;2.0
    2018T3;0.6;0.5;0.6;2.0;1.0;1.1;4.7;2.5;2.2;7.1;3.0;4.1;5.4;3.3;2.1;4.6;1.8;2.8
    2018T2;1.2;0.8;0.4;2.9;0.6;2.2;6.5;3.3;3.3;8.6;3.5;5.1;8.1;3.8;4.3;4.1;2.3;1.8
    2018T1;0.3;0.2;0.1;4.1;1.8;2.3;7.0;2.3;4.7;8.0;3.5;4.5;9.3;5.2;4.1;4.8;2.4;2.4
    2017T4;0.5;0.4;0.1;4.2;1.5;2.7;9.3;4.5;4.8;8.2;4.3;3.9;9.6;5.0;4.6;5.2;3.3;1.9
    2017T3;0.3;0.2;0.1;4.4;2.3;2.1;9.3;4.7;4.6;7.9;3.9;3.9;8.2;4.2;4.1;4.6;2.9;1.8
    2017T2;0.5;0.3;0.2;3.9;2.4;1.5;10.6;5.4;5.2;9.8;3.4;6.4;8.7;5.1;3.6;4.9;3.3;1.7
    2017T1;0.4;0.4;0.1;4.3;2.1;2.2;9.2;4.6;4.6;10.7;4.3;6.5;9.4;5.7;3.7;4.5;2.6;1.8
    2016T4;0.4;0.2;0.2;3.4;2.1;1.3;8.9;4.9;4.1;10.7;5.2;5.5;8.0;4.2;3.8;4.2;2.0;2.3
    2016T3;0.5;0.1;0.4;3.4;1.4;2.0;8.9;4.1;4.8;10.9;6.0;4.9;6.8;4.1;2.8;4.3;2.2;2.1
    2016T2;1.1;0.5;0.6;3.9;2.4;1.5;10.7;5.1;5.6;11.0;4.9;6.1;11.3;5.6;5.7;4.4;2.4;2.0
    2016T1;0.7;0.3;0.4;2.8;2.0;0.8;16.2;8.0;8.2;12.5;7.0;5.5;14.1;7.0;7.1;5.5;3.2;2.3
    2015T4;0.6;0.2;0.4;4.3;2.6;1.7;12.1;6.0;6.1;12.2;6.0;6.2;13.5;6.7;6.8;5.9;3.7;2.2
    2015T3;0.4;0.5;0.4;4.1;2.8;1.4;11.0;5.8;5.2;11.8;6.6;5.2;12.6;6.1;6.6;5.1;3.2;1.9
    2015T2;1.1;0.9;0.2;4.6;3.7;0.9;13.1;4.8;8.3;13.4;6.3;7.1;12.3;5.3;7.0;5.7;3.0;2.7
    2015T1;0.8;0.6;0.2;3.6;2.4;1.2;15.5;7.6;7.9;14.3;4.9;9.4;10.9;5.4;5.4;6.4;3.7;2.7
    2014T4;0.9;0.4;0.5;5.2;3.9;1.4;13.3;7.7;5.6;13.7;6.0;7.7;10.6;6.2;4.4;7.4;5.0;2.5
    2014T3;0.6;0.3;0.3;5.7;3.5;2.2;14.2;8.3;5.9;14.7;8.1;6.6;11.7;5.4;6.4;7.2;4.8;2.4
    2014T2;0.8;0.4;0.4;5.4;3.3;2.2;14.9;8.1;6.7;17.0;9.5;7.5;10.1;5.7;4.4;5.6;3.3;2.3
    2014T1;0.1;0.1;0.4;5.9;3.7;2.2;18.3;10.0;8.3;17.1;9.3;7.7;11.2;5.8;5.5;5.7;3.2;2.5
    2013T4;0.8;0.4;0.4;6.4;3.9;2.6;15.8;7.2;8.7;18.0;8.4;9.6;10.1;5.4;4.6;4.8;3.1;1.7
    2013T3;0.2;0.1;0.1;6.4;3.6;2.8;16.1;8.8;7.3;16.6;9.0;7.5;9.0;5.0;4.1;4.5;2.9;1.6
    2013T2;1.0;0.6;0.3;6.8;3.7;3.1;19.1;10.2;8.9;18.7;9.0;9.7;10.6;5.8;4.8;5.6;3.3;2.3
    2013T1;1.0;0.4;0.6;6.4;3.9;2.5;19.0;9.9;9.2;15.5;8.0;7.5;11.1;6.4;4.7;5.2;3.4;1.8
    2012T4;0.9;0.3;0.7;4.7;2.1;2.6;18.0;9.8;8.2;14.6;8.4;6.2;12.0;6.3;5.7;4.5;3.1;1.5
    2012T3;0.7;0.3;0.4;5.0;2.1;2.8;13.1;8.6;4.5;12.0;7.2;4.8;9.5;4.7;4.8;4.4;3.1;1.3
    2012T2;0.9;0.4;0.5;4.8;3.0;1.9;15.4;10.8;4.5;14.7;7.0;7.7;10.0;5.0;5.0;3.5;2.2;1.3
    2012T1;1.0;0.6;0.4;6.4;3.1;3.4;15.6;9.1;6.5;14.7;7.2;7.5;11.4;5.1;6.3;5.1;3.2;1.9
    2011T4;0.8;0.6;0.2;5.9;3.5;2.4;12.9;8.1;4.8;12.6;6.4;6.2;9.4;4.6;4.8;3.9;2.3;1.6
    2011T3;1.1;0.8;0.3;5.4;3.0;2.5;10.8;7.1;3.7;10.6;5.1;5.5;8.9;5.2;3.7;3.9;2.5;1.4
