;;;;;;;;;;;;
Tasas de paro por distintos grupos de edad, sexo y comunidad autónoma;;;;;;;;;;;;
Unidades: Tasas;;;;;;;;;;;;
;;;;;;;;;;;;
 ;De 16 a 19 años;;;De 20 a 24 años;;;De 25 a 54 años;;;55 y más años;;
 ;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
01 Andalucía;;;;;;;;;;;;
17 Rioja, La;;;;;;;;;;;;
    2020;53.46;53.37;53.67;22.90;21.52;24.64;10.19;8.64;11.91;8.21;6.07;10.90
    2019;38.47;47.03;26.31;21.99;22.32;21.58;8.43;7.99;8.91;10.95;12.49;9.25
    2018;46.79;53.47;36.92;22.34;21.00;23.74;9.03;7.15;11.16;11.40;12.21;10.53
    2017;48.49;33.20;61.99;26.03;21.26;31.82;11.60;9.18;14.38;8.13;6.94;9.61
    2016;71.05;58.51;79.73;28.79;36.14;19.41;12.82;11.14;14.75;9.90;8.89;11.24
    2015;66.50;64.32;68.08;34.22;37.77;29.14;13.73;11.76;16.03;14.46;15.29;13.28
    2014;68.77;50.60;92.96;39.81;43.73;35.47;16.80;13.86;20.20;13.52;11.95;15.59
    2013;57.64;45.25;70.67;45.65;48.88;42.43;18.79;17.80;19.96;14.94;15.73;13.88
    2012;64.11;58.62;73.31;47.00;40.68;54.43;18.79;17.36;20.52;15.63;15.88;15.25
    2011;78.03;72.69;82.66;37.67;33.43;42.55;16.29;16.39;16.17;6.30;6.95;5.04
    2010;67.07;60.41;75.30;29.09;25.22;34.86;12.91;12.28;13.72;9.26;5.93;14.52
    2009;58.62;55.04;63.69;25.87;28.81;22.33;10.93;11.10;10.70;8.36;6.61;11.61
    2008;47.55;57.84;38.41;15.86;12.15;19.73;6.87;5.76;8.41;3.67;2.46;6.33
    2007;25.17;20.24;32.48;13.91;10.55;18.27;4.73;3.04;7.18;3.02;3.32;2.42
    2006;24.74;24.55;25.04;12.58;8.50;17.40;5.54;4.80;6.56;2.38;2.11;3.01
18 Ceuta;;;;;;;;;;;;
    2020;100.00;100.00;100.00;59.08;60.40;57.57;23.14;19.32;28.02;14.65;15.60;12.98
    2019;64.03;100.00;55.83;50.16;64.59;34.79;24.38;20.29;30.22;19.00;18.03;20.50
    2018;68.19;100.00;58.30;61.52;55.35;66.72;27.27;20.74;35.45;20.63;19.03;22.59
    2017;60.92;61.61;59.45;53.71;55.14;52.91;20.58;14.97;28.23;18.22;16.66;20.81
    2016;71.85;61.18;100.00;61.46;67.35;52.13;22.05;16.00;30.59;20.09;17.12;25.42
    2015;88.73;100.00;88.13;77.48;75.78;79.11;22.67;17.20;31.14;21.01;21.58;19.94
    2014;86.78;77.31;100.00;63.31;53.79;75.34;30.91;28.69;34.35;10.76;11.00;10.34
    2013;88.17;88.46;87.81;69.08;73.07;65.08;33.29;26.18;43.78;19.36;18.92;20.26
    2012;96.24;94.19;100.00;64.31;71.82;55.37;36.80;26.82;50.89;12.02;10.46;14.62
    2011;88.26;78.35;100.00;55.41;48.53;63.25;24.31;19.48;32.67;12.96;9.64;18.62
    2010;83.94;75.59;86.56;58.66;51.93;73.14;18.94;17.02;22.22;19.19;19.67;17.93
    2009;73.20;68.45;79.21;29.48;19.20;41.87;18.25;13.18;26.39;3.66;3.02;5.32
    2008;52.13;41.82;69.68;36.05;22.93;47.93;15.23;11.60;21.47;6.95;5.69;11.27
    2007;45.88;39.41;69.35;34.41;21.21;50.67;18.84;13.98;26.87;12.68;12.25;14.09
    2006;70.90;56.69;87.30;48.58;38.79;63.07;17.04;13.10;22.99;8.58;9.05;6.50
19 Melilla;;;;;;;;;;;;
    2020;90.21;100.00;83.80;66.03;78.50;55.34;20.21;16.60;25.03;15.16;14.06;16.32
    2019;88.27;100.00;78.89;58.57;62.45;54.53;24.67;18.18;33.10;17.50;19.83;14.69
    2018;80.50;76.79;87.16;62.40;57.78;70.31;22.52;17.18;29.85;19.16;18.23;20.34
    2017;100.00;100.00;100.00;56.21;54.33;58.66;25.79;15.31;40.20;16.26;20.52;8.88
    2016;78.42;83.14;77.35;67.65;57.76;79.42;27.41;21.28;35.98;22.48;24.00;19.54
    2015;84.79;88.93;80.42;69.80;58.82;93.35;32.57;27.78;38.88;19.38;18.24;21.28
    2014;100.00;100.00;100.00;53.58;30.52;86.50;26.98;22.54;32.36;21.90;19.82;25.77
    2013;47.03;36.66;60.45;55.49;52.26;59.31;30.92;33.29;27.63;23.85;20.30;30.04
    2012;72.36;67.93;75.30;55.45;63.51;44.85;24.63;19.67;32.26;16.06;15.94;16.27
    2011;76.41;85.74;69.51;60.34;62.68;57.38;20.03;15.46;26.50;13.25;15.83;8.53
    2010;67.67;52.25;90.31;45.91;36.31;60.09;20.92;16.29;27.78;3.63;4.57;1.85
    2009;41.56;96.98;25.17;37.77;15.14;78.66;23.13;17.67;30.82;11.64;15.85;1.18
    2008;63.78;60.17;68.72;32.64;28.50;43.06;17.68;12.22;26.95;19.22;19.83;16.61
    2007;43.21;45.74;41.13;26.90;9.22;44.33;16.60;12.03;24.18;10.86;7.84;22.27
    2006;37.13;32.68;44.61;20.07;16.80;24.24;12.55;7.04;21.34;2.37;1.19;7.38
;;;;;;;;;;;;
;;;;;;;;;;;;
Notas:;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente: ;;;;;;;;;;;;
Instituto Nacional de Estadística;;;;;;;;;;;;
