;;;;;;;;;;;;
Tasas de paro por distintos grupos de edad, sexo y comunidad autónoma;;;;;;;;;;;;
Unidades: Tasas;;;;;;;;;;;;
;;;;;;;;;;;;
 ;De 16 a 19 años;;;De 20 a 24 años;;;De 25 a 54 años;;;55 y más años;;
 ;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
01 Andalucía;;;;;;;;;;;;
    2010;71.17;74.61;66.36;35.49;41.78;28.50;18.38;18.76;17.93;13.49;12.79;14.61
    2009;56.01;62.09;46.03;26.58;33.24;18.84;17.29;18.19;16.19;9.43;9.36;9.54
    2008;39.34;35.38;46.22;20.34;22.72;17.37;9.06;8.50;9.77;4.45;3.23;6.48
    2007;21.72;22.47;20.51;13.24;9.16;18.33;6.48;5.54;7.70;3.81;3.21;4.95
    2006;26.80;24.19;31.69;9.46;6.18;13.72;5.73;4.80;6.90;3.96;2.48;6.75
05 Canarias;;;;;;;;;;;;
    2020;69.62;70.36;68.24;48.87;51.60;46.03;21.18;19.68;22.84;19.16;18.03;20.51
    2019;60.02;65.05;51.94;39.16;35.76;43.41;19.12;17.71;20.67;17.73;17.32;18.29
    2018;48.77;52.39;45.68;36.63;39.82;33.29;18.68;17.39;20.12;19.08;17.28;21.60
    2017;65.04;60.97;69.53;41.65;46.68;36.68;21.77;18.82;25.02;22.24;21.64;23.05
    2016;67.85;64.60;72.41;48.80;50.28;46.90;23.89;21.65;26.41;26.58;25.93;27.41
    2015;67.10;61.82;74.43;51.22;54.41;47.19;27.50;25.72;29.53;25.79;25.61;26.04
    2014;64.89;56.95;73.44;56.17;57.67;54.51;31.00;29.83;32.32;26.77;29.89;22.19
    2013;83.84;79.49;88.89;61.80;65.57;57.65;32.13;32.54;31.65;23.54;25.41;20.89
    2012;71.75;71.29;72.20;60.24;61.01;59.42;31.18;30.98;31.40;21.44;19.52;24.38
    2011;68.97;63.35;78.05;47.20;44.64;49.88;28.03;28.34;27.66;22.06;23.81;19.37
    2010;69.42;71.65;65.15;48.35;51.83;44.45;26.90;27.01;26.77;22.12;23.95;18.79
    2009;61.04;62.17;59.70;44.67;45.39;43.85;24.55;24.48;24.64;16.67;14.88;20.02
    2008;54.73;52.07;58.14;26.31;28.17;23.94;16.03;14.78;17.66;11.48;10.32;13.69
    2007;37.15;30.12;49.63;17.89;14.44;21.88;9.08;7.56;11.08;8.06;6.42;11.07
    2006;40.34;35.09;49.10;18.72;16.26;21.62;10.17;7.86;13.28;8.76;8.87;8.55
06 Cantabria;;;;;;;;;;;;
    2020;47.73;41.97;52.61;41.09;41.96;39.85;11.25;10.35;12.27;8.98;9.58;8.27
    2019;39.72;32.99;44.26;29.05;26.29;32.29;10.10;9.60;10.67;6.65;6.44;6.94
    2018;31.66;30.58;32.63;33.07;30.35;35.29;10.14;8.84;11.66;7.97;6.73;9.41
    2017;29.03;30.22;25.56;36.44;41.50;32.57;13.02;12.22;13.92;9.98;11.50;8.18
    2016;47.26;40.58;53.94;30.23;33.67;26.43;15.05;14.28;15.94;9.63;9.53;9.73
    2015;59.77;69.06;51.11;37.35;47.94;25.04;17.50;15.33;19.99;12.46;13.10;11.65
    2014;65.84;66.21;65.44;47.85;52.92;40.82;18.72;18.78;18.65;14.50;16.28;12.26
    2013;52.69;69.83;40.70;52.46;54.96;49.38;19.86;19.06;20.80;12.64;14.01;10.82
    2012;56.68;64.89;51.10;39.89;35.96;44.59;17.52;17.83;17.16;10.71;12.77;8.16
    2011;57.72;69.35;37.99;38.66;37.55;40.19;14.16;14.85;13.33;10.37;11.52;8.72
    2010;51.40;43.79;62.01;33.90;31.15;36.88;12.43;11.62;13.42;9.33;8.85;10.05
    2009;45.34;35.32;58.36;27.71;24.30;31.51;11.18;11.19;11.16;5.44;5.26;5.74
    2008;27.36;26.27;28.59;17.79;12.30;24.16;6.48;5.49;7.74;3.59;3.28;4.08
    2007;21.18;14.37;31.21;12.38;8.72;16.53;5.59;4.26;7.31;2.52;2.21;3.07
    2006;30.70;22.51;45.42;14.24;8.78;21.02;5.70;3.54;8.50;3.44;3.93;2.49
07 Castilla y León;;;;;;;;;;;;
    2020;49.04;43.60;57.97;31.90;29.50;34.66;11.20;9.89;12.71;9.45;7.79;11.59
    2019;39.23;37.56;41.83;27.20;24.20;31.10;10.75;9.03;12.73;10.04;8.79;11.69
    2018;41.98;38.31;47.93;25.57;27.26;23.47;11.58;9.56;13.93;9.76;8.19;11.87
    2017;57.89;59.01;55.84;32.37;33.58;30.90;13.39;10.82;16.36;10.81;9.44;12.68
    2016;57.62;56.73;58.77;35.87;31.25;41.59;15.17;13.36;17.29;11.80;11.22;12.60
    2015;67.79;61.46;76.98;44.30;40.65;48.59;17.33;14.78;20.37;13.20;12.58;14.04
    2014;65.98;64.77;68.29;47.77;44.67;51.72;19.70;18.07;21.63;15.78;14.57;17.50
    2013;71.79;67.19;79.68;46.07;45.30;47.07;20.80;18.81;23.11;15.52;15.69;15.26
    2012;67.99;62.68;80.78;44.65;41.61;48.02;18.64;16.78;20.92;13.35;13.07;13.82
    2011;51.73;51.42;52.19;35.84;36.56;35.01;15.94;14.48;17.74;10.56;10.58;10.52
    2010;47.76;43.44;54.40;30.86;30.68;31.07;14.89;13.01;17.28;10.38;10.70;9.85
    2009;50.36;46.06;57.18;27.90;23.99;32.73;12.74;10.85;15.17;9.44;9.09;10.06
    2008;40.12;30.30;53.33;18.02;14.46;22.87;8.84;6.19;12.31;5.01;3.96;7.14
    2007;29.97;26.97;35.37;14.37;11.38;18.54;6.38;3.94;9.67;4.07;2.89;6.50
    2006;24.89;17.71;38.16;15.00;11.24;19.68;7.47;4.46;11.58;5.13;4.50;6.56
08 Castilla La Mancha;;;;;;;;;;;;
    2020;57.74;50.94;71.78;36.36;33.75;39.63;16.30;11.88;21.83;15.68;12.50;20.46
    2019;54.85;51.07;62.05;35.63;30.53;41.85;14.16;9.76;19.62;15.69;13.37;18.94
    2018;67.13;62.50;76.59;38.12;32.47;44.60;16.56;11.55;22.89;14.49;11.96;18.13
    2017;60.22;54.73;68.24;41.08;36.40;46.98;19.36;14.80;25.07;16.70;15.66;18.32
    2016;67.30;58.32;78.10;47.77;44.65;51.40;21.35;17.54;26.20;21.86;20.11;24.58
    2015;75.36;68.28;85.30;53.60;50.94;56.40;23.97;19.98;29.05;23.10;21.18;26.16
    2014;79.73;78.73;81.52;57.60;58.88;56.16;26.21;22.72;30.63;25.69;24.08;28.52
    2013;79.04;80.03;77.59;58.09;55.93;60.61;27.32;24.69;30.73;25.01;23.76;27.14
    2012;77.60;70.37;87.02;49.53;49.48;49.60;26.59;23.72;30.37;21.61;19.84;24.57
    2011;61.84;51.86;77.81;44.76;44.59;44.96;21.03;18.67;24.20;15.21;15.51;14.68
    2010;58.57;50.52;72.54;39.23;40.53;37.62;18.87;16.71;21.93;16.25;14.99;18.92
    2009;54.21;52.99;56.17;31.11;29.40;33.17;17.27;15.69;19.53;11.11;10.07;13.43
    2008;35.10;30.27;42.50;19.16;17.11;21.66;10.50;8.23;13.86;6.29;4.76;9.92
    2007;24.53;20.07;31.54;12.78;9.34;17.43;6.56;4.25;10.11;5.33;4.01;8.90
    2006;24.55;16.61;38.83;14.53;10.95;19.33;7.85;4.41;13.37;5.28;3.35;10.66
09 Cataluña;;;;;;;;;;;;
    2020;49.09;44.18;57.08;30.83;32.87;28.53;11.26;10.23;12.38;9.07;8.51;9.71
    2019;36.16;37.28;34.95;23.74;26.14;21.07;9.65;8.97;10.39;9.90;9.26;10.62
    2018;43.66;46.68;40.12;23.86;25.49;21.99;10.04;9.23;10.92;10.61;9.93;11.44
    2017;46.27;47.99;44.04;26.92;28.89;24.73;11.77;10.76;12.85;13.49;11.56;15.81
    2016;50.77;54.32;46.28;30.91;31.41;30.39;14.22;12.91;15.66;14.80;13.71;16.07
    2015;65.92;64.50;67.96;37.05;39.44;34.65;16.47;15.39;17.67;18.24;17.89;18.66
    2014;61.88;63.28;59.95;43.99;45.01;42.90;18.35;18.33;18.37;17.12;18.71;15.16
    2013;71.73;72.39;70.81;44.99;48.94;40.67;21.35;21.71;20.94;17.51;17.91;17.00
    2012;71.24;72.61;69.56;45.54;47.70;43.20;20.79;21.39;20.10;15.90;16.72;14.86
    2011;62.44;67.97;55.51;39.30;44.56;34.00;17.50;17.81;17.14;13.11;13.66;12.37
    2010;61.96;68.00;54.50;32.97;38.89;26.32;16.08;16.66;15.38;12.28;12.61;11.81
    2009;54.59;58.56;49.07;32.10;36.35;27.26;14.69;15.58;13.58;9.97;9.57;10.54
    2008;34.98;35.63;34.12;15.93;18.09;13.41;8.07;8.18;7.92;4.84;4.40;5.56
    2007;25.06;22.98;27.73;10.02;9.17;11.05;5.77;4.89;6.90;4.96;4.46;5.77
    2006;25.50;22.26;29.19;11.53;10.68;12.56;5.74;4.53;7.31;3.88;3.13;5.24
10 Comunitat Valenciana;;;;;;;;;;;;
    2020;51.74;44.42;61.76;32.86;31.52;34.60;14.89;12.87;17.23;14.09;12.68;15.77
    2019;40.52;37.44;45.94;28.72;23.84;34.48;12.76;10.50;15.39;13.39;11.31;15.99
    2018;46.81;47.83;45.68;30.95;32.35;29.20;14.07;12.28;16.16;14.88;12.97;17.30
    2017;51.87;51.01;53.18;38.90;41.38;36.17;16.33;13.79;19.27;16.24;16.75;15.60
    2016;59.61;56.24;65.27;42.10;41.59;42.65;18.86;16.73;21.31;18.25;18.01;18.53
    2015;63.21;62.40;64.31;44.46;45.02;43.80;20.90;19.43;22.62;20.29;21.88;18.31
    2014;74.64;75.33;73.77;52.96;53.90;51.87;23.96;22.94;25.16;20.26;19.98;20.63
    2013;70.25;68.63;72.21;53.05;55.06;50.77;26.51;25.32;27.91;20.85;20.69;21.07
    2012;66.81;66.27;67.49;49.85;53.29;46.13;25.82;25.97;25.63;19.40;19.44;19.34
    2011;68.40;74.97;59.94;47.84;50.72;44.75;22.40;21.91;23.00;15.07;14.94;15.26
    2010;67.51;61.73;75.17;36.28;36.06;36.51;21.36;21.55;21.12;17.56;18.82;15.46
    2009;58.93;55.57;63.51;34.17;34.84;33.45;19.44;19.97;18.77;12.87;12.73;13.10
    2008;41.55;37.83;46.89;21.35;21.04;21.70;10.69;9.60;12.11;6.79;6.69;6.98
    2007;29.64;24.64;37.14;15.49;13.38;17.98;7.66;5.95;9.97;5.14;3.97;7.33
    2006;30.15;25.81;35.59;14.02;11.69;16.67;7.20;5.38;9.73;5.71;4.87;7.30
11 Extremadura;;;;;;;;;;;;
    2020;69.25;62.84;79.89;42.65;39.96;46.05;20.70;16.00;26.04;17.35;16.35;18.73
    2019;62.65;53.45;87.58;41.16;33.16;50.58;20.56;15.43;26.72;16.98;13.50;21.84
    2018;54.49;52.31;59.82;44.99;41.76;49.04;22.48;17.33;28.76;19.94;18.43;22.15
    2017;60.67;51.08;82.23;46.44;44.06;49.05;24.73;21.19;29.00;23.45;20.20;28.90
    2016;57.06;48.75;70.89;49.05;49.51;48.54;25.88;21.52;31.30;24.31;22.38;27.41
    2015;78.93;77.25;82.13;50.64;46.46;56.25;27.48;23.60;32.33;23.56;22.06;25.90
    2014;75.02;71.72;78.48;51.72;51.81;51.62;28.38;25.44;32.10;22.35;21.51;23.66
    2013;73.09;69.99;77.85;59.07;60.66;57.18;31.48;29.02;34.47;28.32;30.28;25.21
    2012;73.99;63.17;89.29;59.38;58.00;61.03;30.12;27.28;33.74;28.27;31.19;22.68
    2011;64.58;70.04;55.83;47.78;43.58;52.46;22.71;20.62;25.46;18.80;18.43;19.54
    2010;58.34;60.25;55.52;42.64;40.13;45.63;20.73;18.11;24.23;16.55;16.33;17.03
    2009;55.08;44.70;69.55;37.29;32.57;43.23;17.85;14.78;22.03;18.97;18.85;19.24
    2008;38.92;26.99;58.87;25.55;18.10;34.66;13.32;9.51;18.76;14.27;11.77;20.34
    2007;31.71;25.84;40.53;24.56;17.94;33.32;11.25;7.62;16.51;10.14;9.21;11.99
    2006;36.80;32.44;45.71;19.96;12.60;29.60;11.73;8.43;16.70;11.17;10.74;12.14
12 Galicia;;;;;;;;;;;;
    2020;45.02;40.00;55.41;31.22;29.47;33.53;11.68;10.22;13.25;8.90;8.68;9.14
    2019;41.37;39.47;44.70;25.50;26.06;24.77;11.27;9.96;12.66;9.85;9.22;10.53
    2018;47.64;35.71;66.71;29.78;29.60;29.98;12.69;11.50;13.94;11.23;11.23;11.22
    2017;58.50;60.96;55.51;31.27;32.35;30.06;15.13;13.87;16.50;12.83;14.08;11.50
    2016;57.13;53.29;61.32;38.29;37.59;39.15;16.65;15.51;17.90;12.72;14.36;10.95
    2015;63.70;66.70;59.36;40.64;42.37;38.73;18.87;17.49;20.38;13.89;15.67;11.93
    2014;68.12;65.84;70.90;45.71;46.50;44.79;21.02;20.63;21.45;15.22;16.72;13.44
    2013;64.79;60.62;70.93;48.10;49.61;46.41;21.34;21.42;21.26;15.05;16.24;13.57
    2012;55.48;52.27;59.46;43.50;44.47;42.42;20.04;20.31;19.74;12.66;13.08;12.15
    2011;48.49;47.18;50.61;35.48;36.50;34.19;16.75;15.72;17.91;10.59;10.45;10.75
    2010;48.51;43.01;56.64;32.52;32.32;32.77;14.58;13.70;15.59;9.09;9.17;8.99
    2009;42.50;40.96;45.89;27.79;28.36;27.11;11.49;10.39;12.76;7.20;6.90;7.60
    2008;31.26;27.29;39.20;18.62;16.58;21.30;7.80;6.53;9.30;5.59;4.40;7.31
    2007;23.17;21.38;27.20;13.94;10.09;19.20;7.02;5.06;9.34;5.13;4.44;6.21
    2006;21.01;14.49;33.95;17.18;13.68;21.54;7.66;5.06;10.75;5.70;5.59;5.86
13 Madrid, Comunidad de;;;;;;;;;;;;
    2020;47.74;46.56;49.52;29.02;27.10;30.96;11.50;10.50;12.51;10.60;10.00;11.24
    2019;46.28;41.30;51.26;25.89;26.05;25.73;9.14;8.34;9.96;10.78;9.82;11.84
    2018;51.43;52.09;50.68;23.61;26.44;20.63;11.24;10.50;12.03;11.02;9.88;12.30
    2017;60.34;61.22;59.18;30.58;33.49;27.47;12.11;11.21;13.05;11.49;11.13;11.87
    2016;59.56;64.57;53.82;37.21;36.87;37.55;14.05;13.16;14.97;14.59;14.33;14.88
    2015;68.61;67.37;70.03;40.07;42.58;37.36;15.55;15.13;15.99;13.17;12.80;13.61
    2014;68.78;58.59;78.55;45.46;44.85;46.05;16.75;16.24;17.29;16.14;14.95;17.48
    2013;73.64;71.87;76.64;44.64;44.17;45.09;17.84;17.35;18.36;16.87;15.84;18.04
